5
Id,Age,Math,Science,Malay
50
11672489,25,82,43,14
11688694,25,27,74,74
11937460,20,67,95,48
11785885,26,52,45,75
11956167,18,66,8,88
11526029,19,86,8,67
11788631,19,65,82,30
11744227,20,20,24,70
11513124,23,92,36,53
11968005,24,37,7,60
11900521,24,4,24,50
11744056,22,89,87,12
11556466,21,77,87,45
11949492,23,14,8,16
11565704,21,54,42,81
11722371,19,75,41,35
11528098,19,83,77,95
11786775,23,29,14,64
11983682,21,34,59,76
11611145,23,78,55,39
11514944,20,52,26,15
11585338,24,86,32,7
11513731,23,13,7,95
11665164,22,14,44,80
11745571,26,24,91,10
11754442,20,6,51,12
11997860,20,78,32,54
11722229,22,92,7,11
11888950,24,96,73,73
11555187,17,68,98,57
12012202,19,75,11,86
11655800,23,26,20,37
11983564,23,85,97,22
11790499,25,47,7,49
11895825,24,18,39,100
11859707,21,32,51,10
11911850,26,7,67,36
11660764,23,65,6,89
11674924,24,46,19,39
11619688,23,34,54,32
11604055,22,54,11,51
11547653,25,50,0,4
11898497,21,17,31,89
11659947,24,89,45,6
11674191,19,31,90,93
11997335,22,13,29,39
11831835,23,64,35,33
11900712,20,42,85,85
11703094,23,84,78,1
11667976,23,46,22,65
